num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S005764;17/01/2025;20:30:00;CALL. SAMBARA, 59;59;15;CIUDAD LINEAL;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;444832;4476191;N;
2025S006016;18/01/2025;11:20:00;CALL. CERCETA, 1;1;9;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;2;Ingreso inferior o igual a 24 horas;434771;4477771;N;
2025S006140;18/01/2025;21:20:00;CALL. PRINCESA, 31;31;9;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;439392;4475517;N;
2025S006511;19/01/2025;11:15:00;AVDA. CERRO MILANO / CALL. ANTONIO GADES;259;18;VILLA DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;449007;4467690;N;
2025S006591;19/01/2025;22:00:00;CALL. GENOVA, 26;26;1;CENTRO;Alcance;Se desconoce;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441284;4475255;N;
2025S006781;19/01/2025;12:05:00;AVDA. MONASTERIO DE EL ESCORIAL / AVDA. MONASTERIO DE SILOS;2;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;439574;4483894;N;
2025S006450;20/01/2025;6:55:00;GTA. SANTA MARIA DE LA CABEZA / PASEO. SANTA MARIA DE LA CABEZA;4;2;ARGANZUELA;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440688;4472534;N;
2025S006731;20/01/2025;22:50:00;CALL. IRUN, 7;7;9;MONCLOA-ARAVACA;Caída;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;2;Ingreso inferior o igual a 24 horas;439245;4474912;N;
2025S006950;21/01/2025;16:30:00;CALL. LAGARTERA / IDB. LA MANCHA;1;13;PUENTE DE VALLECAS;Atropello a persona;Lluvia débil;Bicicleta;Conductor;Desconocido;Desconocido;;;443039;4470164;N;
2025S006950;21/01/2025;16:30:00;CALL. LAGARTERA / IDB. LA MANCHA;1;13;PUENTE DE VALLECAS;Atropello a persona;Lluvia débil;Bicicleta;Peatón;Menor de 5 años;Hombre;;;443039;4470164;N;
